username,tweet_text,Subjectivity,Polarity,Analysis
TheJessicats, I hope it happens before my iPhone 14 arrives.,0.0,0.0,Neutral
itschefnotjeff,"Nah iphone 14 upgrade just not it, change my mind.",0.0,0.0,Neutral
HalfRonin,"To the shock of absolutely no one: 

Apple: Ready for the iPhone 14?
About the 3 ppl left who care: Yeah!
A: See also iPhone 13. 
3: Wut? 
A: see also iPhone 12 then. 
3: …
A: WANT ME TO GO BACK EVEN FURTHER???",0.38,0.02,Positive
Deejayrayman,  will you be able to order the iPhone 14 Pro online tomorrow? Or phone only?,0.8125,0.25,Positive
TheGalox_,China's four major carriers do not support the US version of the iPhone 14 series because they don't support eSIM ,0.5,0.0625,Positive
kobby_smalling,"iPhone 14 pro,slightly used in Ashaiman Washington, 256 gig dm for business 🤝 ",0.0,0.0,Neutral
Hi_ImBlep,"If anyone is getting the new iPhone 14 and doesn’t know what to do with their old iPhone, I’ll take it pretty please :3 ily",0.6636363636363636,0.24659090909090908,Positive
http_masquerade, NO CAUSE IM SO TEMPTED TO EXCHANGE MY IPHONE 13 pro FOR IPHONE 14!! Just for the color obviously,0.5,0.0,Neutral
AppleSite_,"iPhone 14 Pro: An in-depth look at how Dynamic Island works with apps, animations, more  ",0.3333333333333333,0.25,Positive
TiagoConning1,iPhone 14,0.0,0.0,Neutral
OG_Slouch,Fire Red 3’s secured. IPhone 14 pro max preorder tomorrow and 2K23 dropping. This should be a good weekend…,0.30000000000000004,0.35,Positive
real_vera001,I need iphone 14 🤦,0.0,0.0,Neutral
Sadeekhassan,Dr. Ben in “The Mountain Between Us” wouldn't have spent time with Alex in the mountains if he was using iPhone 14 instead of 6.,0.1,-0.1,Negative
KryptoMagnus," - I was going to upgrade from 12 Pro Max to the new iPhone 14 Pro Max but you secretly pushed the price up on all the models especially the Pro lineup in the UK. I just cancelled my “get ready order” in the app.  No thanks, keep your island Notch, 14MP and bionic! Apple ",0.5709090909090909,-0.037727272727272734,Negative
bnearnb1,My biggest takeaway from  event is the fact they aren’t raising iphone 14 prices despite rising production  and component costs. This is because Apple makes their own chips while Other tech services companies continue to raises their prices due to inflation ,0.5833333333333334,0.11666666666666665,Positive
DANNYonPC,"So the iphone 14 pro isnt in RED :( 

:((
SAD",0.75,-0.5,Negative
itsusforeverfr,slay queen on iphone 14 ,0.0,0.0,Neutral
Ewolf40, Are you going to buy the iPhone 14,0.0,0.0,Neutral
official_olaa,I love that iphone 14 sha.,0.6,0.5,Positive
iPhone_News,Get Ready for iPhone 14 Pre-Orders With This List of the Best Carrier Deals ,0.4,0.6,Positive
PavelNosok,Elon Musk says he talked to Apple about iPhone 14’s satellite features ,0.0,0.0,Neutral
DZHosinAlger,"   iPhone 14 Pro Max
128 Go:1379 €
256 Go:1499 €
512 Go:1729 €",0.0,0.0,Neutral
_Jaaelyn,I said I wasn’t getting another iPhone unless they came out with another purple one so I will be trading my purple 12 for the purple 14🤩,0.0,0.0,Neutral
TheAkeriah,I’m ready for this iPhone 14 this the longest I done had a phone in my life,0.5,0.2,Positive
Drizie3,Na iPhone 14 Dem use snap d 2022 picture,0.0,0.0,Neutral
mecid, I go for iPhone 14 Pro. Currently using iPhone 13 Pro.,0.4,0.0,Neutral
iamemxi,y’all really gon buy an iphone 14 just to wake up to 0 good morning texts,0.4,0.44999999999999996,Positive
McD180,🥺 Steve Jobs' Daughter Says New iPhone 14 Is Same As Older Version  via ,0.3042929292929293,0.101010101010101,Positive
MLETT_Inc,Elon Musk says he talked to Apple about iPhone 14's satellite features ,0.0,0.0,Neutral
bin_aqial," iphone 14 from zain , great company",0.75,0.8,Positive
itsreyriverajr,"iphone 14 goes on sale 5:00am pdt time tomorrow; friday.

are you getting one and which one?

I want the iphone 14 pro purple 1tb.",0.0,0.0,Neutral
Lioncourt," I will be getting an unlocked iPhone 14 from Apple. What will the process be to get my physical sim transferred to eSim when it arrives? Most carriers do this in their app, but I don’t see an eSim option in yours.",0.3214285714285714,0.25,Positive
Enjis_ur_fav,im definitely getting an iphone 14,0.5,0.0,Neutral
HilarioEatsAss,I definitely am going to get the IPhone 14,0.5,0.0,Neutral
dca_blog,"Popular Apple iPhone models disappeared as soon as the iPhone 14 Series was launched, a big shock to fans, know the full story ",0.5166666666666667,0.31666666666666665,Positive
wedi_higo,Russians will be able to buy the iPhone 14  ,0.625,0.5,Positive
TheGalox_,ZTE making fun of Apple and the Dynamic Island on iPhone 14 Pro ,0.18333333333333335,0.15,Positive
petabites,"copy/pasted as written: 
 
""The biggest difference is that the iPhone 14 is 0.01-inches thicker than the iPhone 14."" 🤔",0.0,0.0,Neutral
EricFitteDuval,"iPhone 14 Pro: An in-depth look at how Dynamic Island works with apps, animations, more ",0.3333333333333333,0.25,Positive
EricFitteDuval,iPhone 14 dimensions: Will your iPhone 13 cases still fit? ,0.4,0.4,Positive
rosamaya_,"SOOOOOO, who’s getting the new iPhone 14? 🫣",0.45454545454545453,0.13636363636363635,Positive
PAPAERIC12,"This iphone hmm. I have not even manage to buy iphone 1, how can I buy iphone 14. I have 13 iphones to buy before.😂

You can't beat me.😂",0.0,0.0,Neutral
CrimsCS,   It’s not old but iPhone 14 is newer and they’re released at very different times so S22 is competing with iPhone 13.,0.49,-0.025,Negative
postxdigital,Apple iPhone 14 launch used to hook victims into a crypto scam ,0.0,0.0,Neutral
ItzPmacDoh,New IPhone 14 is $1400...that sh*t better play dead if my girl touch it🙄,0.4515151515151515,0.14545454545454545,Positive
9to5mac,"iPhone 14 Pro: An in-depth look at how Dynamic Island works with apps, animations, more  by ",0.3333333333333333,0.25,Positive
nazmulmarketer1,"iPhone 13 vs. iPhone 14: Plus, Pro, and Pro Max models compared ",0.0,0.0,Neutral
toxic_game,"On Instagram Story;; Eve Jobs, took a dig at the new iPhone 14, implying that Apple was basically re-hashing earlier designs with each new generation of iPhones.

iPhone iPhone14ProMax ",0.4696969696969697,0.0909090909090909,Positive
EEDRISBASHIR, No be only me notice this iPhone 14. 14 e no too pure me sef go wait for the 15,0.75,0.10714285714285714,Positive
lorrronnn,i think i should preorder me that iphone 14 tomorrow,0.0,0.0,Neutral
kylecanspeak,sad the queen isn’t going to see digital island or emergency sos on iPhone 14 Pro,0.5,-0.25,Negative
balentonto,"   The iphone 14 (no pro) is using the same chip as the iphone 13 pro, which has few differences from the iphone",0.1125,-0.1,Negative
its_keaaa,To those people thinking that flexing iphone 6 ke bo dese your phones almost decade old and new iphone 14 is coming out 😭😂😂😂 ,0.32727272727272727,0.11818181818181818,Positive
solvoarticles,Steve Jobs’ daughter Eve Jobs aims dig at Apple iPhone 14 ,0.0,0.0,Neutral
VirasthNews,"iPhone 14 Max to launch at Apple Far Out event at present: Check expected value, specs and more ",0.475,0.125,Positive
newsfet777,Comparison of iPhone 14 and 14 Plus with Pro models and iPhone 13 ,0.0,0.0,Neutral
JaySweeezy,Debating on preordering the IPhone 14 pro max or if I should just get it the day it releases in stores.. since I can get first dibs on them 🤔,0.3333333333333333,0.25,Positive
TheGalox_,All the iPhone 14 series comes with 6gb ram ,0.0,0.0,Neutral
joe_stitches__,Uk used iPhone 14 PROMAX for sale.,0.0,0.0,Neutral
ab_panday,my brain after looking at iphone 14 prices ,0.0,0.0,Neutral
LeftVRight2022,Oh yeah the iPhone 14 is coming out,0.0,0.0,Neutral
ConsoleCreature,"ICYMI: The iPhone 14 Pro Lineup Brings New Toughness And Performance 

Details: 

APPLEEVENT ",0.45454545454545453,0.13636363636363635,Positive
MudCityNative,Ok  I’m getting the iPhone 14 Pro Max…stop slowing my phone down.,0.3944444444444445,0.17222222222222222,Positive
MacHashNews,"iPhone 14 event: Everything Apple didn't announce, and what's coming next  $AAPL ",0.0,0.0,Neutral
gdelussigny,iPhone 14 Pro’s New Dynamic Island Features Camera and Microphone Indicators as Rumored ,0.3106060606060606,0.06818181818181818,Positive
sumedhathawale0,The best Apple iPhone 14 cases and covers for 2022 | Digital Trends ,0.15,0.5,Positive
SetheChosenOne," Hellllll nah, iPhone 6s was the last good iPhone outside of the iPhone 8, although the iPhone 14 actually looks pretty decent now",0.4138888888888889,0.18611111111111112,Positive
TheCoinKing1980,Even Steve Jobs daughter Eve Job is making fun of iPhone 14....well she is right. Innovations dead since Job passing in 2010...  yall need an innovative leader on board this is ridiculous ,0.6271428571428571,0.11047619047619048,Positive
natmorris, Did she order an iPhone 14 too?,0.0,0.0,Neutral
Freskoisme,The iPhone 14 is the iPhone 13 with a new notification bubble above &amp; a wider camera.,0.2772727272727273,0.06818181818181818,Positive
postxdigital,"iPhone 14 Plus, iPhone 14 First Impressions: Bigger Screen, Not Much Else ",0.3444444444444444,0.049999999999999996,Positive
postxdigital,"iPhone 14 Plus, iPhone 14 First Impressions: Bigger Screen, Not Much Else ",0.3444444444444444,0.049999999999999996,Positive
helingjay,“How the iPhone 14 and 14 Plus compare to the Pro models — and the iPhone 13” by Sheena Vasani  ,0.0,0.0,Neutral
sammiherrer_a,the deep purple iphone 14 whew chileeee i want it🥰,0.4,0.0,Neutral
ltravel395,"iPhone 14 Plus, iPhone 14 First Impressions: Bigger Screen, Not Much Else News Portal ",0.3444444444444444,0.049999999999999996,Positive
9to5mac,iPhone 14 dimensions: Will your iPhone 13 cases still fit?  by ,0.4,0.4,Positive
rxzhael,The dynamic island on iPhone 14 Pro got me feelin some kind of way,0.5333333333333333,0.3,Positive
_Husbandman,"As una dey buy the new iphone 14, make una try bless people with the 11,12,13 them wey una get.",0.45454545454545453,0.13636363636363635,Positive
Technorapper,"New post: iPhone 14 Plus, iPhone 14 First Impressions: Bigger Screen, but Not Much Else Has Changed ",0.37196969696969695,0.0715909090909091,Positive
berrysukehiro,My iPhone 14 plus will be my last upgrade,0.06666666666666667,0.0,Neutral
ajfortin,No iPhone 14 mini? Com’on Apple☹️ noapplemini AppleiPhone14,0.0,0.0,Neutral
ThatGuyRob096,So ready to get my iPhone 14 Pro Max! apple iPhone14ProMax,0.5,0.25,Positive
